city,count
Marina Peninsula ,
Maywood,1
Melrose,49
Mid-city,8
Miracle Mile,7
Mission Hills ,
Monrovia,4
Monrovia ,
Montebello,2
Monterey Park,4
Mt. Washington ,
Newhall,0
North Hills,1
North Hollywood,18
North Lancaster,0
North Whittier,0
Northeast San Gabriel,0
Northridge,7
Norwalk,9
Pacific Palisades,10
Pacoima,2
Padua Hills,0
Palisades Highlands,0
Palmdale,4
Palms,12
Palos Verdes Estates,12
Palos Verdes Peninsula,0
Panorama City,4
Paramount,5
Park La Brea ,
Pasadena,9
Pearblossom/Llano,0
Pellissier Village,0
Pico Rivera,2
Pico-Union,5
Placerita Canyon,0
Playa Del Rey ,
Playa Vista,5
Pomona,4
Porter Ranch,2
Quartz Hill,0
Rancho Dominguez,0
Rancho Palos Verdes,7
Rancho Park ,
Redondo Beach,23
Regent Square,0
Reseda,8
Reseda Ranch ,
Reynier Village ,
Rolling Hills,0
Rolling Hills Estates ,
Roosevelt,0
Rosemead,0
Rosewood,0
Rosewood/East Gardena,0
Rosewood/West Rancho Dominguez,0
Rowland Heights,1
San Dimas,1
San Fernando,0
San Gabriel,5
San Jose Hills,0
San Marino ,
San Pasqual,0
San Pedro,8
Sand Canyon,0
Santa Clarita,24
Santa Fe Springs,0
Santa Monica,28
Saugus,0
Saugus/Canyon Country,0
Shadow Hills ,
Sherman Oaks,21
Sierra Madre,0
Signal Hill ,
Silverlake,12
South Antelope Valley,0
South Carthay,5
South El Monte,0
South Gate,4
South Park,3
South Pasadena,3
South San Gabriel,0
South Whittier,3
Southeast Antelope Valley,0
St Elmo Village,0
Stevenson Ranch ,
Studio City,10
Sun Valley,3
Sun Village,0
Sunland,0
Sunrise Village,0
Sycamore Square,0
Sylmar,4
Tarzana,17
Temple City,0
Temple-Beaudry,5
Thai Town ,
Toluca Lake ,
Toluca Terrace,0
Toluca Woods,0
Torrance,21
Total,1465
Tujunga,2
Twin Lakes/Oat Mountain,0
Under Investigation,143
Unincorporated Santa Catalina Island,0
Unincorporated Santa Monica Mountains,0
University Hills,0
University Park,4
Val Verde,0
Valencia ,
Valinda ,
Valley Glen,2
Valley Village,13
Van Nuys,4
Venice,11
Vermont Knolls ,
Vermont Square ,
Vermont Vista,2
Vernon,0
Vernon Central,3
Victoria Park ,
View Heights,0
View Park/Windsor Hills,0
Walnut,1
Walnut Park,0
Watts,1
Wellington Square,0
West Adams,6
West Antelope Valley,0
West Carson,5
West Covina,5
West Hills,5
West Hollywood,42
West LA ,
West Los Angeles,9
West Puente Valley,0
West Rancho Dominguez,0
West Vernon,6
West Whittier/Los Nietos,0
Westchester,8
Westfield/Academy Hills,0
Westhills,0
Westlake,1
Westlake Village,0
Westwood,16
White Fence Farms,0
Whittier,4
Wholesale District,8
Willowbrook,1
Wilmington,5
Wilshire Center,4
Winnetka,3
Wiseburn ,
Woodland Hills,14
